transaction_id,user_id,timestamp,amount,currency,merchant_category,device_id,ip_address,shipping_address,city,is_fraud,fraud_type,is_stealth
tx_1008,usr_102,2026-08-19T09:38:00+00:00,404.87,INR,dining,dev_usr_102,103.21.102.10,"24 MG Road, Mumbai",Mumbai,False,none,False
tx_1097,usr_118,2026-08-19T11:00:00+00:00,1534.82,INR,electronics,dev_usr_118,103.21.118.10,"216 MG Road, Pune",Pune,False,none,False
tx_1029,usr_106,2026-08-19T12:58:00+00:00,514.73,INR,retail,dev_usr_106,103.21.106.10,"72 MG Road, Pune",Pune,False,none,False
tx_1084,usr_116,2026-08-19T14:34:00+00:00,1195.73,INR,groceries,dev_usr_116,103.21.116.10,"192 MG Road, Hyderabad",Hyderabad,False,none,False
tx_1042,usr_108,2026-08-19T16:17:00+00:00,1464.53,INR,travel,dev_usr_108,103.21.108.10,"96 MG Road, Mumbai",Mumbai,False,none,False
tx_1003,usr_101,2026-08-19T20:09:00+00:00,596.4,INR,groceries,dev_usr_101,103.21.101.10,"12 MG Road, Bengaluru",Bengaluru,False,none,False
tx_1064,usr_112,2026-08-19T20:26:00+00:00,274.63,INR,groceries,dev_usr_112,103.21.112.10,"144 MG Road, Pune",Pune,False,none,False
tx_1006,usr_101,2026-08-19T20:39:00+00:00,503.28,INR,electronics,dev_usr_101,103.21.101.10,"12 MG Road, Bengaluru",Bengaluru,False,none,False
tx_1098,usr_118,2026-08-19T21:06:00+00:00,1524.65,INR,groceries,dev_usr_118,103.21.118.10,"216 MG Road, Pune",Pune,False,none,False
tx_1048,usr_109,2026-08-19T21:43:00+00:00,579.06,INR,digital_goods,dev_usr_109,103.21.109.10,"108 MG Road, Delhi",Delhi,False,none,False
tx_1037,usr_107,2026-08-19T22:23:00+00:00,530.26,INR,travel,dev_usr_107,103.21.107.10,"84 MG Road, Bengaluru",Bengaluru,False,none,False
tx_1104,usr_119,2026-08-20T00:10:00+00:00,593.56,INR,dining,dev_usr_119,103.21.119.10,"228 MG Road, Bengaluru",Bengaluru,False,none,False
tx_1010,usr_102,2026-08-20T00:31:00+00:00,389.09,INR,dining,dev_usr_102,103.21.102.10,"24 MG Road, Mumbai",Mumbai,False,none,False
tx_1090,usr_117,2026-08-20T00:39:00+00:00,390.34,INR,electronics,dev_usr_117,103.21.117.10,"204 MG Road, Chennai",Chennai,False,none,False
tx_1082,usr_115,2026-08-20T01:01:00+00:00,831.42,INR,dining,dev_usr_115,103.21.115.10,"180 MG Road, Delhi",Delhi,False,none,False
tx_1051,usr_110,2026-08-20T01:04:00+00:00,1239.45,INR,digital_goods,dev_usr_110,103.21.110.10,"120 MG Road, Hyderabad",Hyderabad,False,none,False
tx_1032,usr_106,2026-08-20T02:40:00+00:00,801.72,INR,groceries,dev_usr_106,103.21.106.10,"72 MG Road, Pune",Pune,False,none,False
tx_1004,usr_101,2026-08-20T04:33:00+00:00,688.83,INR,retail,dev_usr_101,103.21.101.10,"12 MG Road, Bengaluru",Bengaluru,False,none,False
tx_1027,usr_105,2026-08-20T05:25:00+00:00,582.74,INR,groceries,dev_usr_105,103.21.105.10,"60 MG Road, Chennai",Chennai,False,none,False
tx_1069,usr_113,2026-08-20T05:48:00+00:00,526.51,INR,digital_goods,dev_usr_113,103.21.113.10,"156 MG Road, Bengaluru",Bengaluru,False,none,False
tx_1047,usr_109,2026-08-20T06:04:00+00:00,433.96,INR,dining,dev_usr_109,103.21.109.10,"108 MG Road, Delhi",Delhi,False,none,False
tx_1046,usr_109,2026-08-20T06:14:00+00:00,409.18,INR,electronics,dev_usr_109,103.21.109.10,"108 MG Road, Delhi",Delhi,False,none,False
tx_1022,usr_105,2026-08-20T06:19:00+00:00,722.82,INR,electronics,dev_usr_105,103.21.105.10,"60 MG Road, Chennai",Chennai,False,none,False
tx_1028,usr_105,2026-08-20T06:40:00+00:00,813.88,INR,electronics,dev_usr_105,103.21.105.10,"60 MG Road, Chennai",Chennai,False,none,False
tx_1105,usr_119,2026-08-20T09:15:00+00:00,684.19,INR,travel,dev_usr_119,103.21.119.10,"228 MG Road, Bengaluru",Bengaluru,False,none,False
tx_1033,usr_106,2026-08-20T10:29:00+00:00,583.42,INR,travel,dev_usr_106,103.21.106.10,"72 MG Road, Pune",Pune,False,none,False
tx_1071,usr_113,2026-08-20T10:37:00+00:00,526.49,INR,travel,dev_usr_113,103.21.113.10,"156 MG Road, Bengaluru",Bengaluru,False,none,False
tx_1089,usr_116,2026-08-20T11:54:00+00:00,1192.66,INR,electronics,dev_usr_116,103.21.116.10,"192 MG Road, Hyderabad",Hyderabad,False,none,False
tx_1019,usr_104,2026-08-20T12:07:00+00:00,655.53,INR,retail,dev_usr_104,103.21.104.10,"48 MG Road, Hyderabad",Hyderabad,False,none,False
tx_1054,usr_110,2026-08-20T13:41:00+00:00,1306.4,INR,digital_goods,dev_usr_110,103.21.110.10,"120 MG Road, Hyderabad",Hyderabad,False,none,False
tx_1077,usr_114,2026-08-20T13:57:00+00:00,760.0,INR,groceries,dev_usr_114,103.21.114.10,"168 MG Road, Mumbai",Mumbai,False,none,False
tx_1013,usr_103,2026-08-20T14:04:00+00:00,904.76,INR,retail,dev_usr_103,103.21.103.10,"36 MG Road, Delhi",Delhi,False,none,False
tx_1023,usr_105,2026-08-20T16:20:00+00:00,767.22,INR,groceries,dev_usr_105,103.21.105.10,"60 MG Road, Chennai",Chennai,False,none,False
tx_1067,usr_113,2026-08-20T16:33:00+00:00,483.93,INR,groceries,dev_usr_113,103.21.113.10,"156 MG Road, Bengaluru",Bengaluru,False,none,False
tx_1043,usr_108,2026-08-20T17:56:00+00:00,1383.25,INR,travel,dev_usr_108,103.21.108.10,"96 MG Road, Mumbai",Mumbai,False,none,False
tx_1110,usr_120,2026-08-20T19:30:00+00:00,1394.92,INR,dining,dev_usr_120,103.21.120.10,"240 MG Road, Mumbai",Mumbai,False,none,False
tx_1038,usr_107,2026-08-20T19:35:00+00:00,309.51,INR,retail,dev_usr_107,103.21.107.10,"84 MG Road, Bengaluru",Bengaluru,False,none,False
tx_1014,usr_103,2026-08-20T20:48:00+00:00,532.77,INR,digital_goods,dev_usr_103,103.21.103.10,"36 MG Road, Delhi",Delhi,False,none,False
tx_1036,usr_107,2026-08-20T22:26:00+00:00,384.72,INR,retail,dev_usr_107,103.21.107.10,"84 MG Road, Bengaluru",Bengaluru,False,none,False
tx_1012,usr_103,2026-08-20T23:42:00+00:00,782.62,INR,digital_goods,dev_usr_103,103.21.103.10,"36 MG Road, Delhi",Delhi,False,none,False
